Date,Total Scheduled Trips,% Change From 2019 Weekday/Saturday/Sunday Average
9/20/2020,9269,-48.4%
9/19/2020,12246,-26.8%
9/18/2020,20702,-27.7%
9/17/2020,21005,-26.7%
9/16/2020,22070,-23.0%
9/15/2020,20763,-27.5%
9/14/2020,19888,-30.6%
9/13/2020,9315,-48.2%
9/12/2020,12349,-26.2%
9/11/2020,20809,-27.4%
9/10/2020,20181,-29.6%
9/9/2020,21801,-23.9%
9/8/2020,19806,-30.9%
9/7/2020,9261,-67.7%
9/6/2020,10160,-43.5%
9/5/2020,12118,-27.6%
9/4/2020,20223,-29.4%
9/3/2020,19992,-30.2%
9/2/2020,19990,-30.2%
9/1/2020,18929,-33.9%
8/31/2020,18185,-36.5%
8/30/2020,9752,-45.7%
8/29/2020,9814,-41.3%
8/28/2020,18845,-34.2%
8/27/2020,19271,-32.7%
8/26/2020,20659,-27.9%
8/25/2020,18682,-34.8%
8/24/2020,17643,-38.4%
8/23/2020,8297,-53.8%
8/22/2020,11456,-31.5%
8/21/2020,19035,-33.6%
8/20/2020,19344,-32.5%
8/19/2020,19915,-30.5%
8/18/2020,19274,-32.7%
8/17/2020,17377,-39.3%
8/16/2020,7902,-56.0%
8/15/2020,11487,-31.3%
8/14/2020,18113,-36.8%
8/13/2020,18608,-35.0%
8/12/2020,19346,-32.5%
8/11/2020,18546,-35.3%
8/10/2020,18178,-36.5%
8/9/2020,8287,-53.9%
8/8/2020,10613,-36.6%
8/7/2020,17502,-38.9%
8/6/2020,19117,-33.3%
8/5/2020,18299,-36.1%
8/4/2020,14924,-47.9%
8/3/2020,17594,-38.6%
8/2/2020,7431,-58.6%
8/1/2020,10685,-36.1%
7/31/2020,17654,-38.4%
7/30/2020,17333,-39.5%
7/29/2020,18216,-36.4%
7/28/2020,16892,-41.0%
7/27/2020,16607,-42.0%
7/26/2020,7429,-58.7%
7/25/2020,10350,-38.1%
7/24/2020,17311,-39.6%
7/23/2020,17056,-40.5%
7/22/2020,17582,-38.6%
7/21/2020,16831,-41.3%
7/20/2020,15957,-44.3%
7/19/2020,7052,-60.7%
7/18/2020,9785,-41.5%
7/17/2020,16401,-42.8%
7/16/2020,17230,-39.9%
7/15/2020,18149,-36.7%
7/14/2020,17081,-40.4%
7/13/2020,15928,-44.4%
7/12/2020,7395,-58.8%
7/11/2020,8453,-49.5%
7/10/2020,15738,-45.1%
7/9/2020,17017,-40.6%
7/8/2020,16980,-40.7%
7/7/2020,16003,-44.1%
7/6/2020,14886,-48.0%
7/5/2020,6280,-65.0%
7/4/2020,8391,-49.8%
7/3/2020,10915,-61.9%
7/2/2020,15981,-44.2%
7/1/2020,16451,-42.6%
6/30/2020,15291,-46.6%
6/29/2020,14705,-48.7%
6/28/2020,5748,-68.0%
6/27/2020,8541,-48.9%
6/26/2020,15048,-47.5%
6/25/2020,14854,-48.2%
6/24/2020,15155,-47.1%
6/23/2020,15069,-47.4%
6/22/2020,13314,-53.5%
6/21/2020,6328,-64.8%
6/20/2020,8185,-51.1%
6/19/2020,13868,-51.6%
6/18/2020,13808,-51.8%
6/17/2020,14595,-49.1%
6/16/2020,12939,-54.8%
6/15/2020,12953,-54.8%
6/14/2020,5195,-71.1%
6/13/2020,7794,-53.4%
6/12/2020,13224,-53.8%
6/11/2020,12514,-56.3%
6/10/2020,13616,-52.5%
6/9/2020,12869,-55.1%
6/8/2020,11957,-58.3%
6/7/2020,4650,-74.1%
6/6/2020,6591,-60.6%
6/5/2020,11698,-59.2%
6/4/2020,12000,-58.1%
6/3/2020,11962,-58.2%
6/2/2020,11206,-60.9%
6/1/2020,10760,-62.4%
5/31/2020,4216,-76.5%
5/30/2020,6143,-63.3%
5/29/2020,10185,-64.4%
5/28/2020,10030,-65.0%
5/27/2020,11088,-61.3%
5/26/2020,9875,-65.5%
5/25/2020,5428,-81.1%
5/24/2020,4117,-77.1%
5/23/2020,5550,-66.8%
5/22/2020,9782,-65.9%
5/21/2020,9731,-66.0%
5/20/2020,10224,-64.3%
5/19/2020,9290,-67.6%
5/18/2020,8969,-68.7%
5/17/2020,3577,-80.1%
5/16/2020,5947,-64.5%
5/15/2020,9473,-66.9%
5/14/2020,8855,-69.1%
5/13/2020,9437,-67.1%
5/12/2020,8271,-71.1%
5/11/2020,7636,-73.3%
5/10/2020,3962,-77.9%
5/9/2020,5055,-69.8%
5/8/2020,8656,-69.8%
5/7/2020,8509,-70.3%
5/6/2020,8832,-69.2%
5/5/2020,8445,-70.5%
5/4/2020,8287,-71.1%
5/3/2020,3263,-81.8%
5/2/2020,5493,-67.2%
5/1/2020,8332,-70.9%
4/30/2020,7253,-74.7%
4/29/2020,7844,-72.6%
4/28/2020,7542,-73.7%
4/27/2020,6922,-75.8%
4/26/2020,2506,-86.1%
4/25/2020,4719,-71.8%
4/24/2020,7040,-75.4%
4/23/2020,6969,-75.7%
4/22/2020,7496,-73.8%
4/21/2020,6613,-76.9%
4/20/2020,7050,-75.4%
4/19/2020,2742,-84.7%
4/18/2020,4202,-74.9%
4/17/2020,7048,-75.4%
4/16/2020,6563,-77.1%
4/15/2020,6928,-75.8%
4/14/2020,6585,-77.0%
4/13/2020,6205,-78.3%
4/12/2020,2525,-85.9%
4/11/2020,4235,-74.7%
4/10/2020,5378,-81.2%
4/9/2020,6243,-78.2%
4/8/2020,6950,-75.7%
4/7/2020,7041,-75.4%
4/6/2020,7093,-75.2%
4/5/2020,2763,-84.6%
4/4/2020,4375,-73.8%
4/3/2020,7794,-72.8%
4/2/2020,7077,-75.3%
4/1/2020,8151,-71.5%
3/31/2020,7672,-73.2%
3/30/2020,8084,-71.8%
3/29/2020,3374,-81.2%
3/28/2020,4491,-73.2%
3/27/2020,8409,-70.6%
3/26/2020,8796,-69.3%
3/25/2020,9512,-66.8%
3/24/2020,9136,-68.1%
3/23/2020,9905,-65.4%
3/22/2020,4824,-73.2%
3/21/2020,6467,-61.3%
3/20/2020,12746,-55.5%
3/19/2020,14119,-50.7%
3/18/2020,15942,-44.4%
3/17/2020,18174,-36.6%
3/16/2020,21149,-26.2%
3/15/2020,12480,-30.5%
3/14/2020,13395,-19.9%
3/13/2020,26641,-7.0%
3/12/2020,30815,7.6%
3/11/2020,32204,12.4%
3/10/2020,31315,9.3%
3/9/2020,29609,3.4%
3/8/2020,19477,8.4%
3/7/2020,18117,8.3%
3/6/2020,30971,8.1%
3/5/2020,33211,15.9%
3/4/2020,34304,19.7%
3/3/2020,32768,14.4%
3/2/2020,30340,5.9%
3/1/2020,19922,10.9%
